time,size,frequency
61.0,1,113
61.0,2,32
61.0,3,15
61.0,4,8
61.0,5,6
61.0,6,5
61.0,7,3
61.0,8,2
61.0,10,3
61.0,11,1
61.0,13,2
61.0,14,1
61.0,21,1
61.0,22,1
61.0,4452,1
61.5,1,121
61.5,2,35
61.5,3,12
61.5,4,8
61.5,5,5
61.5,6,3
61.5,7,4
61.5,9,4
61.5,11,1
61.5,12,1
61.5,13,1
61.5,21,1
61.5,4503,1
62.0,1,98
62.0,2,27
62.0,3,17
62.0,4,10
62.0,5,2
62.0,6,5
62.0,7,1
62.0,8,4
62.0,9,1
62.0,10,3
62.0,4559,1
62.5,1,100
62.5,2,27
62.5,3,12
62.5,4,9
62.5,5,5
62.5,6,4
62.5,8,2
62.5,10,1
62.5,13,1
62.5,14,1
62.5,15,2
62.5,4561,1
63.0,1,116
63.0,2,33
63.0,3,8
63.0,4,15
63.0,5,4
63.0,6,5
63.0,7,1
63.0,8,1
63.0,9,2
63.0,10,1
63.0,12,1
63.0,13,1
63.0,15,1
63.0,16,1
63.0,23,1
63.0,28,1
63.0,4451,1
63.5,1,118
63.5,2,32
63.5,3,13
63.5,4,8
63.5,5,3
63.5,6,3
63.5,7,3
63.5,8,1
63.5,9,3
63.5,10,2
63.5,11,2
63.5,12,2
63.5,13,1
63.5,17,1
63.5,19,2
63.5,21,1
63.5,30,1
63.5,43,1
63.5,4351,1
64.0,1,95
64.0,2,30
64.0,3,16
64.0,4,6
64.0,5,7
64.0,6,3
64.0,7,1
64.0,8,1
64.0,9,1
64.0,10,2
64.0,13,2
64.0,20,1
64.0,32,1
64.0,4526,1
64.5,1,117
64.5,2,26
64.5,3,12
64.5,4,14
64.5,5,3
64.5,6,2
64.5,7,1
64.5,8,2
64.5,10,1
64.5,21,1
64.5,28,1
64.5,29,1
64.5,60,1
64.5,4469,1
65.0,1,113
65.0,2,31
65.0,3,19
65.0,4,11
65.0,5,10
65.0,6,2
65.0,8,3
65.0,9,1
65.0,11,2
65.0,45,1
65.0,4491,1
65.5,1,108
65.5,2,29
65.5,3,23
65.5,4,8
65.5,5,7
65.5,6,2
65.5,7,6
65.5,8,1
65.5,9,1
65.5,10,1
65.5,15,1
65.5,19,1
65.5,23,1
65.5,48,1
65.5,4445,1
66.0,1,112
66.0,2,31
66.0,3,12
66.0,4,8
66.0,5,3
66.0,6,1
66.0,7,1
66.0,12,1
66.0,14,1
66.0,4633,1
66.5,1,112
66.5,2,23
66.5,3,10
66.5,4,8
66.5,5,5
66.5,6,2
66.5,7,1
66.5,9,1
66.5,10,2
66.5,19,1
66.5,21,1
66.5,26,1
66.5,4569,1
67.0,1,115
67.0,2,24
67.0,3,9
67.0,4,3
67.0,5,6
67.0,6,7
67.0,7,3
67.0,9,1
67.0,10,2
67.0,13,1
67.0,16,1
67.0,20,1
67.0,22,1
67.0,23,1
67.0,4509,1
67.5,1,102
67.5,2,28
67.5,3,13
67.5,4,10
67.5,5,4
67.5,6,2
67.5,7,1
67.5,8,1
67.5,9,2
67.5,10,2
67.5,12,1
67.5,19,1
67.5,4561,1
68.0,1,91
68.0,2,31
68.0,3,7
68.0,4,7
68.0,5,3
68.0,6,3
68.0,9,1
68.0,10,1
68.0,11,1
68.0,13,1
68.0,14,1
68.0,18,1
68.0,4614,1
68.5,1,91
68.5,2,37
68.5,3,11
68.5,4,4
68.5,5,3
68.5,6,7
68.5,7,2
68.5,8,2
68.5,9,1
68.5,11,1
68.5,12,1
68.5,13,1
68.5,15,2
68.5,18,1
68.5,4541,1
69.0,1,81
69.0,2,27
69.0,3,14
69.0,4,13
69.0,5,5
69.0,6,3
69.0,7,2
69.0,8,1
69.0,9,1
69.0,12,1
69.0,13,1
69.0,14,1
69.0,22,1
69.0,24,1
69.0,4551,1
69.5,1,97
69.5,2,34
69.5,3,15
69.5,4,11
69.5,5,6
69.5,6,3
69.5,7,3
69.5,9,2
69.5,11,3
69.5,12,1
69.5,22,1
69.5,87,1
69.5,4428,1
70.0,1,97
70.0,2,43
70.0,3,17
70.0,4,11
70.0,5,4
70.0,6,1
70.0,7,1
70.0,9,1
70.0,12,2
70.0,14,1
70.0,15,1
70.0,18,1
70.0,20,2
70.0,27,1
70.0,29,1
70.0,4438,1
70.5,1,93
70.5,2,33
70.5,3,11
70.5,4,9
70.5,5,2
70.5,6,1
70.5,7,3
70.5,8,2
70.5,10,2
70.5,13,1
70.5,14,1
70.5,22,1
70.5,24,1
70.5,28,1
70.5,4538,1
71.0,1,90
71.0,2,35
71.0,3,9
71.0,4,8
71.0,5,10
71.0,6,1
71.0,7,5
71.0,8,1
71.0,9,2
71.0,12,1
71.0,18,1
71.0,26,1
71.0,4540,1
71.5,1,111
71.5,2,35
71.5,3,15
71.5,4,11
71.5,5,10
71.5,6,1
71.5,7,2
71.5,8,1
71.5,10,2
71.5,13,2
71.5,14,2
71.5,4512,1
72.0,1,79
72.0,2,34
72.0,3,19
72.0,4,8
72.0,5,3
72.0,6,7
72.0,7,3
72.0,8,1
72.0,9,1
72.0,10,1
72.0,11,2
72.0,13,2
72.0,23,1
72.0,27,1
72.0,4485,1
72.5,1,89
72.5,2,25
72.5,3,15
72.5,4,5
72.5,5,7
72.5,6,2
72.5,7,1
72.5,8,1
72.5,9,2
72.5,12,1
72.5,15,1
72.5,19,1
72.5,4598,1
73.0,1,102
73.0,2,35
73.0,3,16
73.0,4,9
73.0,5,7
73.0,6,4
73.0,7,2
73.0,20,1
73.0,4579,1
73.5,1,104
73.5,2,36
73.5,3,15
73.5,4,5
73.5,5,4
73.5,7,1
73.5,8,2
73.5,9,1
73.5,10,2
73.5,11,2
73.5,13,1
73.5,14,1
73.5,15,1
73.5,16,1
73.5,17,1
73.5,18,1
73.5,4507,1
74.0,1,108
74.0,2,29
74.0,3,10
74.0,4,8
74.0,5,2
74.0,6,5
74.0,7,7
74.0,8,1
74.0,9,1
74.0,11,1
74.0,15,1
74.0,20,1
74.0,27,1
74.0,4532,1
74.5,1,99
74.5,2,30
74.5,3,17
74.5,4,7
74.5,5,6
74.5,6,2
74.5,7,5
74.5,8,2
74.5,9,1
74.5,10,3
74.5,12,2
74.5,18,1
74.5,19,1
74.5,23,1
74.5,25,1
74.5,39,1
74.5,59,1
74.5,4364,1
75.0,1,100
75.0,2,25
75.0,3,12
75.0,4,5
75.0,5,1
75.0,6,2
75.0,7,2
75.0,8,2
75.0,9,1
75.0,10,1
75.0,11,1
75.0,16,1
75.0,18,1
75.0,19,1
75.0,24,1
75.0,4575,1
75.5,1,115
75.5,2,22
75.5,3,13
75.5,4,9
75.5,5,4
75.5,6,10
75.5,7,2
75.5,8,2
75.5,9,2
75.5,10,1
75.5,14,2
75.5,22,1
75.5,29,1
75.5,40,1
75.5,4453,1
76.0,1,123
76.0,2,35
76.0,3,10
76.0,4,5
76.0,5,5
76.0,6,6
76.0,7,2
76.0,8,3
76.0,9,1
76.0,16,1
76.0,4580,1
76.5,1,109
76.5,2,25
76.5,3,10
76.5,4,13
76.5,5,2
76.5,6,6
76.5,7,3
76.5,9,1
76.5,10,1
76.5,12,1
76.5,14,1
76.5,20,1
76.5,21,1
76.5,37,1
76.5,40,1
76.5,4472,1
77.0,1,110
77.0,2,34
77.0,3,12
77.0,4,12
77.0,5,2
77.0,6,4
77.0,7,2
77.0,9,1
77.0,10,1
77.0,11,1
77.0,12,1
77.0,14,1
77.0,4568,1
77.5,1,113
77.5,2,37
77.5,3,17
77.5,4,5
77.5,5,2
77.5,6,3
77.5,7,4
77.5,9,2
77.5,11,2
77.5,12,2
77.5,14,1
77.5,15,1
77.5,4504,1
78.0,1,98
78.0,2,37
78.0,3,18
78.0,4,6
78.0,5,4
78.0,6,5
78.0,9,1
78.0,13,1
78.0,21,1
78.0,4566,1
78.5,1,111
78.5,2,34
78.5,3,10
78.5,4,3
78.5,5,2
78.5,6,3
78.5,7,2
78.5,8,2
78.5,9,3
78.5,10,2
78.5,11,1
78.5,12,1
78.5,4564,1
79.0,1,108
79.0,2,35
79.0,3,16
79.0,4,6
79.0,5,7
79.0,6,4
79.0,7,3
79.0,8,2
79.0,9,1
79.0,11,3
79.0,17,1
79.0,18,1
79.0,25,1
79.0,26,1
79.0,4455,1
79.5,1,120
79.5,2,25
79.5,3,9
79.5,4,11
79.5,5,3
79.5,6,5
79.5,7,2
79.5,10,2
79.5,14,1
79.5,17,1
79.5,19,1
79.5,4567,1
80.0,1,109
80.0,2,33
80.0,3,11
80.0,4,3
80.0,5,6
80.0,6,4
80.0,7,3
80.0,8,1
80.0,9,2
80.0,13,1
80.0,17,1
80.0,35,1
80.0,4552,1
80.5,1,104
80.5,2,26
80.5,3,12
80.5,4,5
80.5,5,2
80.5,6,3
80.5,7,3
80.5,9,1
80.5,12,2
80.5,14,1
80.5,15,1
80.5,21,1
80.5,4600,1
81.0,1,111
81.0,2,33
81.0,3,18
81.0,4,8
81.0,5,2
81.0,6,1
81.0,7,1
81.0,8,4
81.0,10,1
81.0,11,1
81.0,12,1
81.0,13,1
81.0,14,1
81.0,15,2
81.0,4530,1
81.5,1,113
81.5,2,29
81.5,3,10
81.5,4,13
81.5,5,7
81.5,6,2
81.5,7,2
81.5,8,2
81.5,9,1
81.5,13,1
81.5,14,1
81.5,19,1
81.5,4542,1
82.0,1,102
82.0,2,41
82.0,3,14
82.0,4,9
82.0,5,7
82.0,6,4
82.0,7,2
82.0,8,4
82.0,9,1
82.0,10,3
82.0,15,1
82.0,17,2
82.0,28,1
82.0,4439,1
82.5,1,103
82.5,2,43
82.5,3,12
82.5,4,5
82.5,5,4
82.5,6,3
82.5,7,5
82.5,8,2
82.5,9,2
82.5,10,2
82.5,12,1
82.5,14,1
82.5,18,1
82.5,47,1
82.5,4449,1
83.0,1,105
83.0,2,32
83.0,3,15
83.0,4,7
83.0,5,7
83.0,6,2
83.0,7,1
83.0,8,3
83.0,11,2
83.0,59,1
83.0,83,1
83.0,4444,1
83.5,1,122
83.5,2,25
83.5,3,16
83.5,4,5
83.5,5,8
83.5,6,1
83.5,7,3
83.5,8,2
83.5,9,1
83.5,10,2
83.5,11,2
83.5,15,1
83.5,17,1
83.5,20,1
83.5,27,1
83.5,36,1
83.5,4424,1
84.0,1,91
84.0,2,27
84.0,3,11
84.0,4,7
84.0,5,1
84.0,6,1
84.0,7,3
84.0,8,3
84.0,9,2
84.0,12,1
84.0,13,1
84.0,14,1
84.0,15,1
84.0,16,1
84.0,4573,1
84.5,1,107
84.5,2,26
84.5,3,20
84.5,4,6
84.5,5,5
84.5,6,7
84.5,7,3
84.5,8,3
84.5,9,1
84.5,12,3
84.5,13,1
84.5,36,1
84.5,72,1
84.5,4406,1
85.0,1,116
85.0,2,30
85.0,3,17
85.0,4,7
85.0,5,9
85.0,6,4
85.0,7,1
85.0,8,2
85.0,9,1
85.0,10,1
85.0,13,1
85.0,16,1
85.0,26,1
85.0,4514,1
85.5,1,89
85.5,2,30
85.5,3,9
85.5,4,4
85.5,5,3
85.5,6,5
85.5,7,4
85.5,8,3
85.5,9,1
85.5,14,1
85.5,4636,1
86.0,1,104
86.0,2,37
86.0,3,10
86.0,4,7
86.0,5,4
86.0,6,7
86.0,7,4
86.0,8,1
86.0,13,1
86.0,22,1
86.0,26,1
86.0,31,2
86.0,4493,1
86.5,1,110
86.5,2,21
86.5,3,12
86.5,4,5
86.5,5,8
86.5,6,2
86.5,7,4
86.5,8,3
86.5,9,2
86.5,10,1
86.5,11,1
86.5,13,1
86.5,14,1
86.5,16,1
86.5,18,1
86.5,4537,1
87.0,1,96
87.0,2,34
87.0,3,13
87.0,4,9
87.0,5,2
87.0,6,5
87.0,7,5
87.0,9,2
87.0,10,1
87.0,4616,1
87.5,1,102
87.5,2,33
87.5,3,22
87.5,4,7
87.5,5,3
87.5,6,4
87.5,7,1
87.5,8,2
87.5,9,4
87.5,11,2
87.5,12,2
87.5,13,1
87.5,27,1
87.5,41,1
87.5,4463,1
88.0,1,98
88.0,2,38
88.0,3,20
88.0,4,5
88.0,5,7
88.0,6,6
88.0,8,1
88.0,9,1
88.0,10,1
88.0,11,2
88.0,13,3
88.0,21,1
88.0,4509,1
88.5,1,93
88.5,2,35
88.5,3,12
88.5,4,10
88.5,5,3
88.5,6,3
88.5,7,3
88.5,8,1
88.5,9,1
88.5,10,1
88.5,12,1
88.5,14,1
88.5,17,1
88.5,21,1
88.5,34,1
88.5,50,1
88.5,4477,1
89.0,1,101
89.0,2,24
89.0,3,12
89.0,4,9
89.0,5,5
89.0,6,5
89.0,7,3
89.0,8,2
89.0,9,1
89.0,11,1
89.0,16,1
89.0,4595,1
89.5,1,100
89.5,2,22
89.5,3,11
89.5,4,3
89.5,5,6
89.5,6,1
89.5,7,3
89.5,8,3
89.5,9,2
89.5,10,1
89.5,11,2
89.5,13,1
89.5,14,1
89.5,4594,1
90.0,1,106
90.0,2,15
90.0,3,18
90.0,4,6
90.0,5,4
90.0,6,3
90.0,7,1
90.0,8,1
90.0,9,2
90.0,10,3
90.0,12,1
90.0,13,1
90.0,15,1
90.0,4591,1
90.5,1,109
90.5,2,30
90.5,3,12
90.5,4,4
90.5,5,7
90.5,6,4
90.5,7,2
90.5,8,3
90.5,9,1
90.5,11,1
90.5,15,1
90.5,21,1
90.5,26,1
90.5,4549,1
91.0,1,110
91.0,2,35
91.0,3,5
91.0,4,7
91.0,5,4
91.0,6,3
91.0,7,6
91.0,8,3
91.0,9,3
91.0,10,1
91.0,11,1
91.0,4576,1
91.5,1,106
91.5,2,33
91.5,3,10
91.5,4,8
91.5,5,4
91.5,6,5
91.5,7,3
91.5,8,2
91.5,9,3
91.5,17,1
91.5,24,1
91.5,27,1
91.5,4539,1
92.0,1,111
92.0,2,40
92.0,3,18
92.0,4,11
92.0,5,1
92.0,6,2
92.0,7,1
92.0,9,1
92.0,10,1
92.0,11,1
92.0,12,1
92.0,13,2
92.0,14,1
92.0,21,1
92.0,4540,1
92.5,1,80
92.5,2,30
92.5,3,15
92.5,4,14
92.5,5,3
92.5,6,3
92.5,7,2
92.5,11,1
92.5,12,1
92.5,14,2
92.5,15,1
92.5,24,1
92.5,28,1
92.5,4549,1
93.0,1,106
93.0,2,27
93.0,3,12
93.0,4,6
93.0,5,3
93.0,6,7
93.0,7,3
93.0,8,3
93.0,9,1
93.0,12,3
93.0,13,1
93.0,14,1
93.0,17,1
93.0,28,1
93.0,30,1
93.0,4483,1
93.5,1,94
93.5,2,29
93.5,3,18
93.5,4,7
93.5,5,4
93.5,6,4
93.5,7,4
93.5,8,1
93.5,9,2
93.5,11,1
93.5,14,1
93.5,15,1
93.5,18,1
93.5,22,1
93.5,35,1
93.5,4502,1
94.0,1,90
94.0,2,29
94.0,3,19
94.0,4,12
94.0,5,9
94.0,6,5
94.0,7,3
94.0,8,1
94.0,9,3
94.0,10,1
94.0,12,2
94.0,14,1
94.0,16,2
94.0,18,2
94.0,4454,1
94.5,1,102
94.5,2,25
94.5,3,12
94.5,4,6
94.5,5,10
94.5,6,1
94.5,7,3
94.5,9,3
94.5,10,2
94.5,11,3
94.5,12,1
94.5,19,1
94.5,21,1
94.5,28,1
94.5,4497,1
95.0,1,120
95.0,2,25
95.0,3,15
95.0,4,5
95.0,5,7
95.0,6,6
95.0,7,4
95.0,8,1
95.0,10,1
95.0,12,1
95.0,15,1
95.0,16,2
95.0,18,1
95.0,27,1
95.0,40,1
95.0,4430,1
95.5,1,114
95.5,2,29
95.5,3,19
95.5,4,6
95.5,5,2
95.5,7,3
95.5,8,3
95.5,10,1
95.5,11,1
95.5,12,1
95.5,15,3
95.5,22,1
95.5,4533,1
96.0,1,97
96.0,2,33
96.0,3,17
96.0,4,11
96.0,5,4
96.0,6,1
96.0,7,3
96.0,8,1
96.0,9,1
96.0,10,1
96.0,12,1
96.0,13,1
96.0,14,1
96.0,17,1
96.0,18,1
96.0,4539,1
96.5,1,94
96.5,2,43
96.5,3,10
96.5,4,7
96.5,5,10
96.5,6,2
96.5,7,2
96.5,8,2
96.5,9,1
96.5,13,1
96.5,14,1
96.5,24,1
96.5,25,1
96.5,4523,1
97.0,1,115
97.0,2,22
97.0,3,16
97.0,4,7
97.0,5,1
97.0,6,4
97.0,7,3
97.0,8,2
97.0,9,1
97.0,11,1
97.0,4634,1
97.5,1,96
97.5,2,29
97.5,3,19
97.5,4,3
97.5,5,3
97.5,6,5
97.5,7,3
97.5,9,2
97.5,10,1
97.5,11,1
97.5,19,1
97.5,22,1
97.5,25,1
97.5,55,1
97.5,4506,1
98.0,1,110
98.0,2,26
98.0,3,18
98.0,4,3
98.0,5,6
98.0,6,4
98.0,9,1
98.0,13,1
98.0,17,1
98.0,36,1
98.0,39,1
98.0,4550,1
98.5,1,107
98.5,2,29
98.5,3,10
98.5,4,7
98.5,5,4
98.5,6,1
98.5,7,2
98.5,8,1
98.5,9,1
98.5,11,1
98.5,12,1
98.5,14,1
98.5,18,1
98.5,4608,1
99.0,1,94
99.0,2,22
99.0,3,14
99.0,4,1
99.0,5,3
99.0,6,3
99.0,7,1
99.0,8,2
99.0,13,1
99.0,14,1
99.0,4684,1
99.5,1,96
99.5,2,31
99.5,3,16
99.5,4,9
99.5,5,4
99.5,6,3
99.5,7,3
99.5,8,2
99.5,9,1
99.5,10,2
99.5,11,1
99.5,13,1
99.5,15,1
99.5,17,1
99.5,4562,1
100.0,1,108
100.0,2,23
100.0,3,6
100.0,4,11
100.0,5,3
100.0,6,4
100.0,7,4
100.0,8,1
100.0,9,1
100.0,10,1
100.0,11,1
100.0,4638,1
